,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Ireland,Iceland,Israel,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M12,7.57379,NA,8.906308,6.418939,9.670425,12.51,NA,NA,NA,9.6,4.421532,NA,NA,NA,4.3,7.011964,NA,NA,NA,9.488663,NA,NA,NA,21.6,7.7,15.74885,10.01481,8.9,NA,7.809786,1.963106,NA,NA,13.2,NA,NA,NA,2.874117,NA,NA,NA,13.1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,7.379837,4.84,NA,9.4,15.9,7.778994,10.8,7.623543,5.755012,NA,1.8,NA,14.71,13.9,10.47421,NA,NA,NA,1.6,NA,5.5,NA,NA,NA,NA
1995M01,7.599318,NA,8.819967,6.500057,9.643244,12.37,NA,NA,NA,9.6,4.332081,NA,NA,NA,4.2,6.980894,NA,NA,NA,9.51061,NA,NA,NA,21.4,9.7,16.37678,9.885185,8.9,NA,7.833981,2.177525,NA,NA,12.9,NA,NA,NA,2.954072,NA,NA,NA,12.3,4.8,2.497398,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.949573,5.37,NA,9.6,15.8,7.781222,10.5,7.729294,6.13768,NA,1.7,NA,14.48,13.9,10.52972,NA,NA,NA,1.6,NA,5.6,NA,NA,NA,NA
1995M02,7.502945,NA,8.838414,6.396073,9.637258,12.12,NA,NA,NA,9.6,4.301528,NA,NA,NA,4.2,6.923936,NA,NA,NA,9.465947,NA,NA,NA,21.2,9.7,15.8272,9.796296,8.9,NA,7.750742,2.435234,NA,NA,12.7,NA,NA,NA,3.03013,NA,NA,NA,12.3,4.8,2.52925,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.744122,5.37,NA,9.6,15.6,7.833783,10.4,7.742367,6.13768,NA,1.7,NA,14.36,13.9,10.29398,NA,NA,NA,1.7,NA,5.4,NA,NA,NA,NA
1995M03,7.473764,NA,8.617525,6.409441,9.616655,11.76,NA,NA,NA,9.7,4.270732,NA,NA,NA,4.2,6.966218,NA,NA,NA,9.331122,NA,NA,NA,20.9,9.7,15.0687,9.718519,8.8,NA,7.699808,2.587379,NA,NA,12.5,NA,NA,NA,3.048459,NA,NA,NA,12.3,5,2.593925,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6.57372,5.37,NA,9.6,15.3,7.879158,10.2,7.668738,6.13768,NA,1.7,NA,14.2,13.9,10.56545,NA,NA,NA,1.6,NA,5.4,NA,NA,NA,NA
1995M04,7.596177,NA,8.33924,6.382009,9.60666,11.54,NA,NA,NA,9.5,4.247923,NA,NA,NA,4.1,6.969108,NA,NA,NA,9.436052,NA,NA,NA,20.6,9.8,15.33241,9.651852,8.8,NA,7.815762,2.692413,NA,NA,12.3,NA,NA,NA,3.122074,NA,NA,NA,12.3,5.4,2.518402,NA,NA,NA,NA,NA,NA,NA,NA,6,6.51324,5.37,NA,9.7,15.2,7.996253,10.2,7.859364,6.13768,NA,1.9,NA,14.01,13.9,10.20574,NA,NA,NA,1.7,NA,5.8,NA,NA,NA,NA
1995M05,7.486888,NA,8.506052,6.485034,9.602147,11.28,NA,NA,NA,9.5,4.224613,NA,NA,NA,4.1,6.966915,NA,NA,NA,9.50345,NA,NA,NA,20.5,9.8,14.84638,9.596296,8.7,NA,7.746406,2.631171,NA,NA,12.2,NA,NA,NA,3.024936,NA,NA,NA,12.3,5.8,2.542118,NA,NA,NA,NA,NA,NA,NA,NA,5.9,6.405749,5.37,NA,9.7,15.1,8.011793,10.2,7.997025,6.13768,NA,1.9,NA,13.86,13.9,10.12048,NA,NA,NA,1.7,NA,5.6,NA,NA,NA,NA
1995M06,7.516507,NA,8.385748,6.535064,9.57861,11.29,NA,NA,NA,9.5,4.186702,NA,NA,NA,4.2,7.060134,NA,NA,NA,9.65102,NA,NA,NA,20.6,9.8,15.17064,9.551852,8.7,NA,7.800379,2.950959,NA,NA,12.2,NA,NA,NA,3.100474,NA,NA,NA,12.3,6.3,2.645916,NA,NA,NA,NA,NA,NA,NA,NA,5.8,6.323972,5.37,NA,9.7,15.3,7.984378,10.1,8.173175,6.13768,NA,1.9,NA,13.64,13.9,10.52981,NA,NA,NA,1.8,NA,5.6,NA,NA,NA,NA
1995M07,7.561128,NA,8.339171,6.592509,9.665396,11.22,NA,NA,NA,9.6,4.196367,NA,NA,NA,4.1,7.079277,NA,NA,NA,9.765765,NA,NA,NA,20.7,9.8,16.96555,9.503704,8.6,NA,7.858871,3.219441,NA,NA,12.1,NA,NA,NA,3.132625,NA,NA,NA,12.3,6.4,2.559503,NA,NA,NA,NA,NA,NA,NA,NA,5.7,6.229171,5.37,NA,9.4,15.2,7.739207,10.1,8.370852,6.13768,NA,1.6,NA,13.48,14,10.08207,NA,NA,NA,1.8,NA,5.7,NA,NA,NA,NA
1995M08,7.566725,NA,8.255318,6.634737,9.604806,11.15,NA,NA,NA,9.5,4.23293,NA,NA,NA,4,7.126812,NA,NA,NA,9.923719,NA,NA,NA,20.8,9.8,16.27045,9.492593,8.6,NA,7.89666,3.483956,NA,NA,12.1,NA,NA,NA,3.194741,NA,NA,NA,12.3,6.6,2.496607,NA,NA,NA,NA,NA,NA,NA,NA,5.6,6.222481,5.37,NA,9.4,15.2,7.704794,10.1,8.605372,6.13768,NA,1.6,NA,13.43,14.1,9.822175,NA,NA,NA,1.8,NA,5.7,NA,NA,NA,NA
